sales_region_code,item_code,first_cate_code,second_cate_code,ord_qty
101,20002,303,406,8992
101,20003,301,405,310120
101,20006,307,403,96118
101,20014,307,403,244414
101,20016,303,401,74210
101,20018,306,407,117412
101,20020,305,412,16084
101,20021,305,412,4448
101,20024,306,402,47948
101,20039,305,412,528
101,20041,302,408,41743
101,20046,303,401,283
101,20049,302,408,16339
101,20055,304,409,11289
101,20058,303,401,80902
101,20076,303,401,96734
101,20085,301,405,129684
101,20086,303,401,85112
101,20089,307,403,54074
101,20091,308,404,20665
101,20093,306,407,91398
101,20107,306,407,14890
101,20111,306,407,18896
101,20113,308,404,19201
101,20118,305,412,9397
101,20119,305,412,23996
101,20121,306,407,6044
101,20127,307,403,26323
101,20131,306,407,53322
101,20134,305,412,34196
101,20135,303,401,93852
101,20139,306,407,150363
101,20140,305,412,27871
101,20142,306,407,2815
101,20145,306,407,2034
101,20146,306,402,21506
101,20150,304,409,13032
101,20151,305,412,46206
101,20152,305,412,302828
101,20156,305,412,896
101,20157,303,401,10086
101,20160,303,410,12
101,20162,302,408,17314
101,20163,302,408,1652
101,20164,306,407,1110
101,20169,308,404,32413
101,20172,306,407,25120
101,20173,303,401,68016
101,20175,304,409,16638
101,20178,307,403,910
101,20182,303,401,11582
101,20187,302,408,6814
101,20192,308,404,62606
101,20193,302,408,6889
101,20195,302,408,9700
101,20206,305,412,110952
101,20215,302,408,6750
101,20218,302,408,3005
101,20221,306,407,30627
101,20224,307,403,369387
101,20226,303,401,193484
101,20227,308,404,272505
101,20230,306,407,180386
101,20231,305,412,63
101,20235,303,411,1033
101,20240,306,407,6
101,20245,303,411,1573
101,20247,306,407,4075
101,20248,306,402,161515
101,20251,303,406,3910
101,20252,306,407,92254
101,20253,306,407,269905
101,20256,307,403,4620
101,20259,306,407,1083
101,20261,304,409,8619
101,20267,303,401,9768
101,20272,308,404,16283
101,20278,305,412,19975
101,20282,305,412,736
101,20283,306,407,604869
101,20284,304,409,76615
101,20285,305,412,81117
101,20292,305,412,21860
101,20296,305,412,122590
101,20297,306,407,1018
101,20305,305,412,33441
101,20311,307,403,7182
101,20313,305,412,109937
101,20316,301,405,23262
101,20320,306,407,1614
101,20321,302,408,11551
101,20323,305,412,357006
101,20325,308,404,4218
101,20327,302,408,24816
101,20328,306,407,23960
101,20336,303,401,3067
101,20337,302,408,36907
101,20341,308,404,82814
101,20342,305,412,59563
101,20343,304,409,59804
101,20344,308,404,9425
101,20346,306,407,65666
101,20347,308,404,11327
101,20350,305,412,13144
101,20357,301,405,20940
101,20360,303,401,3713
101,20366,302,408,9768
101,20368,306,407,165274
101,20370,305,412,3157
101,20384,307,403,4742
101,20387,305,412,6181
101,20388,305,412,7556
101,20389,302,408,52533
101,20391,306,407,22006
101,20394,303,406,516
101,20396,305,412,48141
101,20399,302,408,44002
101,20404,303,401,15336
101,20405,302,408,47868
101,20407,305,412,4876
101,20413,306,407,321277
101,20414,308,404,263690
101,20416,301,405,45684
101,20418,307,403,2871
101,20419,306,407,60717
101,20422,302,408,13700
101,20427,302,408,24670
101,20428,303,401,16993
101,20429,305,412,7435
101,20433,305,412,22191
101,20434,306,407,6879
101,20438,304,409,2934
101,20439,302,408,2782
101,20445,303,401,156780
101,20447,304,409,7819
101,20452,301,405,28216
101,20457,305,412,427212
101,20459,305,412,16878
101,20461,303,406,4192
101,20465,302,408,9896
101,20473,306,407,10250
101,20478,302,408,14238
101,20480,307,403,57125
101,20483,305,412,112910
101,20492,307,403,70770
101,20494,304,409,4723
101,20498,306,407,28948
101,20501,306,407,558617
101,20502,305,412,14174
101,20504,307,403,90848
101,20506,303,401,4099
101,20511,308,404,229
101,20512,308,404,161664
101,20515,305,412,10204
101,20522,305,412,19756
101,20523,308,404,317256
101,20525,301,405,50275
101,20527,303,406,9954
101,20528,303,410,228
101,20531,307,403,57701
101,20538,306,407,8245
101,20540,303,401,7594
101,20545,305,412,430836
101,20554,305,412,2469
101,20555,308,404,228901
101,20561,303,401,38648
101,20563,303,401,1938
101,20567,303,406,1843
101,20575,308,404,100924
101,20580,302,408,22828
101,20583,306,407,488618
101,20584,306,407,69494
101,20587,306,407,83856
101,20590,306,407,6582
101,20596,302,408,27796
101,20597,302,408,36479
101,20600,307,403,39777
101,20616,306,407,7912
101,20618,307,403,21251
101,20624,302,408,36115
101,20625,302,408,811
101,20627,307,403,100
101,20631,307,403,187741
101,20635,302,408,26362
101,20636,306,407,15069
101,20648,305,412,232391
101,20649,308,404,7129
101,20653,305,412,183692
101,20654,307,403,14858
101,20655,306,407,49283
101,20656,305,412,55426
101,20657,303,410,8842
101,20661,302,408,138486
101,20662,305,412,114565
101,20668,304,409,21471
101,20672,302,408,11937
101,20675,307,403,23201
101,20678,303,401,43311
101,20682,306,407,109
101,20683,302,408,34609
101,20687,307,403,309
101,20688,303,401,56131
101,20689,303,401,3285
101,20693,308,404,350710
101,20696,305,412,22814
101,20697,304,409,3015
101,20699,306,407,220
101,20700,306,407,102232
101,20704,307,403,114096
101,20707,306,407,1355
101,20712,306,407,53413
101,20714,305,412,5644
101,20716,303,401,244
101,20717,303,401,198758
101,20720,303,401,99815
101,20722,306,407,3323
101,20727,302,408,35075
101,20729,306,407,83255
101,20731,302,408,145
101,20734,306,407,39816
101,20738,305,412,1288
101,20739,305,412,51935
